direction,matched_control,seed,horizon,relative_origin,period,transition_advantage_vs_frozen_local,transition_advantage_vs_frozen_all_pre,control_advantage_vs_frozen_local,control_advantage_vs_frozen_all_pre,excess_advantage_vs_frozen_local,excess_advantage_vs_frozen_all_pre
low_to_high_roughness,stable_low_roughness,0,1,0,early,0.0,-0.018096195065557846,0.0,-0.018240525162339427,0.0,0.00014433009678158082
low_to_high_roughness,stable_low_roughness,0,1,3,early,-0.03167665158715456,-0.026675440913222118,-0.026667886037623052,-0.022590537005946675,-0.005008765549531509,-0.004084903907275443
low_to_high_roughness,stable_low_roughness,0,1,6,early,-0.08476951664082549,-0.07089211442336957,-0.07586685424672751,-0.06476604575958839,-0.008902662394097982,-0.006126068663781181
low_to_high_roughness,stable_low_roughness,0,1,9,early,-0.003693929346975322,-0.020836040909117504,0.007881147987275683,-0.007364171780573248,-0.011575077334251005,-0.013471869128544256
low_to_high_roughness,stable_low_roughness,0,1,12,early,0.0007840096686963275,0.00035353875225014176,0.010707275257972382,0.009172556576251673,-0.009923265589276054,-0.008819017824001532
low_to_high_roughness,stable_low_roughness,0,1,15,early,0.019106059835042433,0.01279969804686118,0.017370939942390473,0.014262697264004809,0.0017351198926519595,-0.001462999217143629
low_to_high_roughness,stable_low_roughness,0,1,18,early,0.016947326794647527,0.012574720129435418,0.022483476613882225,0.018806430106906497,-0.005536149819234698,-0.006231709977471078
low_to_high_roughness,stable_low_roughness,0,1,21,early,0.04268197482452829,0.03339689242351951,0.01909407314512751,0.016834401513461494,0.02358790167940078,0.016562490910058014
low_to_high_roughness,stable_low_roughness,0,1,24,early,-0.14794722814907502,-0.12649339272998528,-0.014378614332706235,-0.012841296188999207,-0.13356861381636878,-0.11365209654098607
low_to_high_roughness,stable_low_roughness,0,1,27,early,-0.04398528752763736,-0.028282033030250342,0.000981155213145641,0.0008314297401714257,-0.044966442740783,-0.029113462770421768
low_to_high_roughness,stable_low_roughness,0,1,30,early,0.2982591098237207,0.3318307172372198,0.029815833617356235,0.025659220614414113,0.2684432762063645,0.3061714966228057
low_to_high_roughness,stable_low_roughness,0,1,33,early,0.5123257720948027,0.5508380714175903,0.01218831776318971,0.011731506899054583,0.5001374543316129,0.5391065645185358
low_to_high_roughness,stable_low_roughness,0,1,36,mid,0.6952151532467491,0.7456086992103287,0.012249570231102014,0.012428341520709318,0.6829655830156471,0.7331803576896194
low_to_high_roughness,stable_low_roughness,0,1,39,mid,0.9858803832366853,1.0556170366336772,0.08406295167442313,0.07977870099405404,0.9018174315622621,0.9758383356396232
low_to_high_roughness,stable_low_roughness,0,1,42,mid,0.3177090790440763,0.35614410583182454,0.010816161525223522,0.014778267677899914,0.3068929175188528,0.34136583815392463
low_to_high_roughness,stable_low_roughness,0,1,45,mid,-0.4861451209235162,-0.5022357253989213,0.05679234010527722,0.05066650174740068,-0.5429374610287934,-0.552902227146322
low_to_high_roughness,stable_low_roughness,0,1,48,mid,-0.05651650730364655,-0.05908008498310087,0.0005064678603301505,0.00011706363480101767,-0.057022975163976704,-0.05919714861790189
low_to_high_roughness,stable_low_roughness,0,1,51,mid,-0.06077892271368787,-0.06779017123069819,0.011478999079966447,0.010763563979507413,-0.07225792179365431,-0.0785537352102056
low_to_high_roughness,stable_low_roughness,0,1,54,mid,0.16638896117516133,0.14254045369411494,0.07624344990061277,0.07175750090853256,0.09014551127454856,0.07078295278558239
low_to_high_roughness,stable_low_roughness,0,1,57,mid,-0.3896457679588059,-0.37133962289367695,-0.00913928498861094,-0.011063315520643657,-0.38050648297019496,-0.3602763073730333
low_to_high_roughness,stable_low_roughness,0,1,60,mid,0.047583910003414776,0.09074364852046779,-0.22007515702662017,-0.20296018652324022,0.26765906703003495,0.293703835043708
low_to_high_roughness,stable_low_roughness,0,1,63,mid,-0.08081496292275615,-0.08030789262891463,-0.20477120592303275,-0.21741022384619216,0.12395624300027659,0.13710233121727752
low_to_high_roughness,stable_low_roughness,0,1,66,mid,0.7792723860745587,0.8426014045880486,-0.13116086371831137,-0.11902807831178219,0.9104332497928701,0.9616294828998307
low_to_high_roughness,stable_low_roughness,0,1,69,mid,-0.20647375230569223,-0.18715611239935087,0.05300624832000875,0.04633854084466385,-0.259480000625701,-0.23349465324401472
low_to_high_roughness,stable_low_roughness,0,1,72,late,0.862133157231219,0.9270345281400119,-0.10235871312262762,-0.09373444949973775,0.9644918703538465,1.0207689776397495
low_to_high_roughness,stable_low_roughness,0,1,75,late,1.2619762823521001,1.3621971101860397,0.2531667894457621,0.27378560564152155,1.008809492906338,1.0884115045445182
low_to_high_roughness,stable_low_roughness,0,1,78,late,1.4801608756329867,1.6037654233681835,0.42593401787262697,0.45894944265043636,1.0542268577603597,1.1448159807177472
low_to_high_roughness,stable_low_roughness,0,1,81,late,0.3835311299923138,0.4422651348850423,0.13367068878516047,0.14734048762371418,0.24986044120715334,0.29492464726132817
low_to_high_roughness,stable_low_roughness,0,1,84,late,-0.8094726357537961,-0.8669992175598354,-0.3549299187954198,-0.38181033000090825,-0.45454271695837634,-0.4851888875589272
low_to_high_roughness,stable_low_roughness,0,1,87,late,0.00548857080131171,-0.0324265044628988,-0.24658371984554117,-0.2600099736430111,0.2520722906468529,0.2275834691801123
low_to_high_roughness,stable_low_roughness,0,1,90,late,-0.4969640108989376,-0.4626796133459111,0.1282427783484798,0.13011579975008322,-0.6252067892474173,-0.5927954130959944
low_to_high_roughness,stable_low_roughness,0,1,93,late,0.04900031836849771,0.035295482464740326,-0.18191523912559338,-0.1836400988366773,0.2309155574940911,0.21893558130141763
low_to_high_roughness,stable_low_roughness,0,1,96,late,-0.10448485703704805,-0.12460238638106289,-0.22762735756034913,-0.2329238614033834,0.12314250052330108,0.10832147502232051
low_to_high_roughness,stable_low_roughness,0,1,99,late,0.08663699154827195,0.10383085086687494,0.007663528367589389,0.008679210575592837,0.07897346318068256,0.09515164029128209
low_to_high_roughness,stable_low_roughness,0,1,102,late,0.5348826650686533,0.5855293851788073,0.15891415410475018,0.16593007664516712,0.37596851096390316,0.41959930853364014
low_to_high_roughness,stable_low_roughness,0,1,105,late,0.25429222622124786,0.2801227966425497,0.03198809145711815,0.034343909940897074,0.22230413476412972,0.2457788867016526
